# Log Format
# ZCZC WEEK# MINUTES LogCode Description
# LogCode + Description List

ZCZC W00 ??   L00 General, etc.
ZCZC W00 30   L01 Created GHP/Repo
ZCZC W00 120  L02 Class session
ZCZC W00 96   L03 Class session
ZCZC W00 30   L04 W00 Reading Assignments (Midterm Problems, Demos)
ZCZC W00 10   L05 Quiz 1
ZCZC W01 120  L06 Class session
ZCZC W01 120  L07 Class session
ZCZC W01 15   L08 Quiz 2
ZCZC W01 180  L09 Assignments (Installs, setups, etc.)
ZCZC W01 180  L10 Assignments (Troubleshooting)
ZCZC W01 180  L11 Assignments (Finishing, Assignments #2, #3, and #4)
ZCZC W01 90   L12 Creating index and links page for OS repository
ZCZC W02 120  L13 Class session
ZCZC W02 120  L14 Class session
ZCZC W02 15   L15 Quiz 3
ZCZC W02 90   L16 Assignments (Links, Generating Keys, etc.)
ZCZC W02 90   L17 Websurfing regarding git commands (remote push, pull)
ZCZC W02 15   L18 Fixing remote fetch URL for os222 local directory
ZCZC W02 60   L19 Fixing fatal error while trying to push mypubkey (could not resolve github.com, consulted teaching assistants)


 
